VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution
0	98102109088	2015-02-15 09:46:43.17	2015-02-15 09:46:44.70	Default	1	3	0	0	1	1.53125	1	0.828125	0
1	98102056406	2015-02-15 09:47:37.84	2015-02-15 09:47:39.79	Default	1	3	0	0	1	1.953125	1	1.1875	0
2	98102108982	2015-02-15 09:58:46.42	2015-02-15 09:58:48.32	Default	1	3	0	0	1	2.109375	1	0.390625	0
3	98102109088	2015-02-15 09:58:48.46	2015-02-15 09:58:50.56	Module 8	1	3	0	0	1	2.09375	1	1.265625	0
4	98102056406	2015-02-15 10:28:25.09	2015-02-15 10:28:26.59	Default	1	3	0	0	1	1.5	1	0.65625	0
5	98102108982	2015-02-15 10:33:43.53	2015-02-15 10:33:49.62	Module 4	1	3	0	0	1	6.203125	1	5.125	0
6	98102056406	2015-02-15 10:49:26.28	2015-02-15 10:49:28.78	Module 11	1	3	0	0	1	2.5	1	1.59375	0
7	98102109088	2015-02-15 10:50:13.45	2015-02-15 10:50:14.67	Module 8	1	3	0	0	1	1.21875	1	0.421875	0
8	98102108982	2015-02-15 11:08:29.07	2015-02-15 11:08:31.64	Module 7	1	3	0	0	1	2.703125	1	1.640625	0
9	98102109088	2015-02-15 11:32:58.04	2015-02-15 11:33:04.48	Module 9	1	3	0	0	1	6.4375	1	5.640625	0
10	98102108982	2015-02-15 11:56:15.57	2015-02-15 11:56:21.34	Default	1	3	0	0	1	5.796875	1	4.8125	0
11	98102056406	2015-02-15 11:59:32.12	2015-02-15 11:59:33.98	Module 13	1	3	0	0	1	1.859375	1	1.078125	0
12	98102109088	2015-02-15 13:24:29.73	2015-02-15 13:24:32.75	Module 6	1	3	0	0	1	3.015625	1	2.21875	0
13	98102056406	2015-02-15 13:34:10.29	2015-02-15 13:34:14.45	Module 3	1	3	0	0	1	4.15625	1	3.90625	0
14	98102056406	2015-02-15 13:48:16.65	2015-02-15 13:48:21.26	Module 1	1	3	0	0	1	4.609375	1	3.8125	0
15	98102056406	2015-02-15 14:48:25.50	2015-02-15 14:48:26.51	Module 13	1	3	0	0	1	1.015625	1	0.234375	0
16	98102109088	2015-02-15 15:51:54.00	2015-02-15 15:51:58.85	Module 1	1	3	0	0	1	4.859375	1	3.9375	0
17	98102056406	2015-02-15 15:52:15.01	2015-02-15 15:52:21.09	Default	1	3	0	0	1	6.078125	1	5.546875	0
18	98102109088	2015-02-15 15:52:29.29	2015-02-15 15:52:37.78	Module 1	1	3	0	0	1	8.484375	1	7.78125	0
19	98102108982	2015-02-15 15:52:43.29	2015-02-15 15:52:49.43	Module 5	1	3	0	0	1	6.953125	1	5.078125	0
20	98102056406	2015-02-15 15:53:21.93	2015-02-15 15:53:25.54	Module 10	1	3	0	0	1	3.609375	1	3.03125	0
21	98102056406	2015-02-15 15:56:19.90	2015-02-15 15:56:21.92	Module 3	1	3	0	0	1	2.015625	1	1.15625	0
22	98102108982	2015-02-15 16:01:43.87	2015-02-15 16:01:50.12	Module 12	1	3	0	0	1	6.484375	1	5.34375	0
23	98102056406	2015-02-15 16:05:27.31	2015-02-15 16:05:28.90	Module 10	1	3	0	0	1	1.59375	1	0.796875	0
24	98102108982	2015-02-15 16:05:46.68	2015-02-15 16:05:50.57	Module 12	1	3	0	0	1	3.953125	1	2.9375	0
25	98102109088	2015-02-15 16:09:38.10	2015-02-15 16:09:40.54	Module 4	1	3	0	0	1	2.4375	1	1.734375	0
26	98102108982	2015-02-15 17:40:48.14	2015-02-15 17:40:52.03	Module 1	1	3	0	0	1	4.015625	1	1.6875	0
27	98102056406	2015-02-15 18:41:48.09	2015-02-15 18:41:49.71	Module 10	1	3	0	0	1	1.625	1	0.734375	0
28	98102108982	2015-02-15 19:05:57.29	2015-02-15 19:09:51.60	Module 9	1	3	0	0	2	230.90625	1	234.3125	0
29	98102109088	2015-02-15 20:32:40.35	2015-02-15 20:32:58.95	Module 1	1	3	0	0	1	18.59375	1	18.1875	0
30	98102109088	2015-02-15 20:39:22.21	2015-02-15 20:39:34.81	Module 5	1	3	0	0	1	12.59375	1	11.90625	0
31	98102056406	2015-02-15 20:42:06.28	2015-02-15 20:42:20.54	Module 8	1	3	0	0	1	14.265625	1	14.21875	0
32	98102109088	2015-02-15 20:42:22.03	2015-02-15 20:42:33.81	Module 9	1	3	0	0	1	11.78125	1	11	0
33	98102056406	2015-02-15 20:44:03.20	2015-02-15 20:44:06.42	Module 10	1	3	0	0	1	3.21875	1	2.546875	0
34	98102108982	2015-02-15 20:44:27.78	2015-02-15 20:44:35.42	Module 12	1	3	0	0	1	7.65625	1	6.71875	0
35	98102108982	2015-02-15 20:44:36.20	2015-02-15 20:44:49.67	Module 5	1	3	0	0	1	13.46875	1	12.671875	0
36	98102108982	2015-02-15 20:44:49.81	2015-02-15 20:44:57.70	Module 10	1	3	0	0	1	7.890625	1	6.96875	0
37	98102109088	2015-02-15 20:45:29.68	2015-02-15 20:45:35.31	Default	1	3	0	0	1	5.625	1	5.046875	0
38	98102109088	2015-02-15 20:45:36.78	2015-02-15 20:45:49.85	Module 4	1	3	0	0	1	13.078125	1	12.734375	0
39	98102109088	2015-02-15 20:45:51.60	2015-02-15 20:46:00.06	Module 7	1	3	0	0	1	8.453125	1	8.03125	0
40	98102108982	2015-02-15 20:47:26.18	2015-02-15 20:47:53.85	Module 13	1	3	0	0	1	27.703125	1	27.21875	0
41	98102108982	2015-02-15 20:47:54.12	2015-02-15 20:48:16.75	Module 2	1	3	0	0	1	22.625	1	20.9375	0
42	98102108982	2015-02-15 20:49:43.96	2015-02-15 20:49:56.79	Module 7	1	3	0	0	1	12.84375	1	12.484375	0
43	98102108982	2015-02-15 20:49:57.00	2015-02-15 20:50:04.09	Module 8	1	3	0	0	1	7.09375	1	6.359375	0
44	98102108982	2015-02-15 22:33:31.79	2015-02-15 22:33:36.39	Module 12	1	3	0	0	1	4.734375	1	3.640625	0
45	98102109088	2015-02-15 23:05:29.82	2015-02-15 23:05:37.85	Module 5	1	3	0	0	1	8.03125	1	7.25	0
46	98102056406	2015-02-15 23:19:46.39	2015-02-15 23:19:52.82	Module 8	1	3	0	0	1	6.4375	1	5.578125	0
47	98102056406	2015-02-15 23:30:08.90	2015-02-15 23:30:49.04	Module 2	1	3	0	0	1	40.140625	1	39.34375	0
48	98102056406	2015-02-15 23:30:50.06	2015-02-15 23:34:04.04	Module 9	1	3	0	0	4	186.890625	1	194.125	0
49	98102108982	2015-02-15 23:37:22.65	2015-02-15 23:37:33.87	Module 2	1	3	0	0	1	11.21875	1	10.46875	0
50	98102056406	2015-02-15 23:40:44.40	2015-02-15 23:40:48.37	Module 1	1	3	0	0	1	3.984375	1	3.09375	0
51	98102108473	2015-02-15 23:42:59.29	2015-02-15 23:43:11.67	Default	1	3	0	0	2	11.4375	2	18.96875	0
52	98102108473	2015-02-15 23:43:13.54	2015-02-15 23:43:19.17	Module 12	1	3	0	0	2	5.140625	1	6.09375	0
53	98102056406	2015-02-15 23:48:17.87	2015-02-15 23:48:21.35	Module 8	1	3	0	0	1	3.484375	1	3.0625	0
54	98102108982	2015-02-15 23:48:34.70	2015-02-15 23:48:54.25	Module 3	1	3	0	0	1	19.59375	2	16.78125	3
55	98102109088	2015-02-15 23:48:54.25	2015-02-15 23:49:00.92	Module 7	1	3	0	0	1	6.671875	1	5.890625	0
56	98102056406	2015-02-15 23:51:37.98	2015-02-15 23:51:46.57	Module 4	1	3	0	0	1	8.59375	1	7.78125	0
57	98102056406	2015-02-15 23:51:47.42	2015-02-15 23:51:50.31	Module 4	1	3	0	0	1	2.890625	2	1.328125	0
58	98102109088	2015-02-16 00:03:13.89	2015-02-16 00:04:04.92	Module 7	1	3	0	0	1	50.71875	1	51.140625	0
