SequenceSessionId	Tag	VisitId	Start	End	Address	Output	PackageName
0	98102253062	6	2016-04-06 19:30:58.79	2016-04-06 19:31:00.03	1	3	Wrong Hour
1	98102253062	6	2016-04-06 19:31:12.92	2016-04-06 19:31:13.92	1	3	Wrong Hour
2	98102253062	7	2016-04-06 19:55:50.34	2016-04-06 19:55:51.34	1	3	Wrong Hour
3	98102253062	7	2016-04-06 19:55:51.43	2016-04-06 19:55:52.45	1	3	Right Time
4	98102253062	7	2016-04-06 19:56:14.79	2016-04-06 19:56:15.81	1	3	Wrong Hour
5	98102253062	7	2016-04-06 19:56:20.46	2016-04-06 19:56:21.46	1	3	Wrong Hour
6	98102254571	8	2016-04-06 19:57:21.96	2016-04-06 19:57:22.96	1	3	Wrong Hour
7	98102254571	8	2016-04-06 19:57:23.20	2016-04-06 19:57:24.21	1	3	Right Time
8	98102254571	8	2016-04-06 19:57:41.26	2016-04-06 19:57:42.28	1	3	Wrong Hour
9	98102254571	9	2016-04-06 20:20:50.95	2016-04-06 20:20:51.95	1	3	Wrong Hour
10	98102254571	9	2016-04-06 20:20:52.57	2016-04-06 20:20:53.57	1	3	Right Time
11	98102254571	9	2016-04-06 20:21:09.03	2016-04-06 20:21:10.04	1	3	Wrong Hour
12	98102254571	10	2016-04-06 20:24:39.65	2016-04-06 20:24:40.65	1	3	Wrong Hour
13	98102254571	10	2016-04-06 20:24:40.95	2016-04-06 20:24:41.95	1	3	Right Time
14	98102253062	11	2016-04-06 20:30:52.39	2016-04-06 20:30:53.39	1	3	Wrong Hour
15	98102253062	11	2016-04-06 20:30:53.92	2016-04-06 20:30:54.98	1	3	Right Time
16	98102253062	11	2016-04-06 20:31:17.43	2016-04-06 20:31:18.43	1	3	Wrong Hour
17	98102254571	12	2016-04-06 20:31:32.35	2016-04-06 20:31:33.35	1	3	Wrong Hour
18	98102254571	12	2016-04-06 20:31:34.39	2016-04-06 20:31:35.39	1	3	Right Time
19	98102254571	12	2016-04-06 20:31:51.31	2016-04-06 20:31:52.32	1	3	Wrong Hour
20	98102254571	13	2016-04-06 20:35:35.81	2016-04-06 20:35:36.62	1	3	Wrong Hour
21	98102254571	13	2016-04-06 20:35:36.62	2016-04-06 20:35:37.62	1	3	Wrong Hour
22	98102254571	13	2016-04-06 20:35:38.84	2016-04-06 20:35:39.84	1	3	Wrong Hour
23	98102253062	14	2016-04-06 20:36:00.37	2016-04-06 20:36:01.37	1	3	Wrong Hour
24	98102254571	16	2016-04-06 20:37:54.51	2016-04-06 20:37:55.51	1	3	Wrong Hour
25	98102254571	16	2016-04-06 20:37:55.90	2016-04-06 20:37:56.90	1	3	Right Time
26	98102254571	16	2016-04-06 20:38:14.40	2016-04-06 20:38:15.40	1	3	Wrong Hour
27	98102254571	17	2016-04-06 20:38:28.82	2016-04-06 20:38:29.84	1	3	Right Time
28	98102254571	17	2016-04-06 20:38:43.60	2016-04-06 20:38:44.60	1	3	Wrong Hour
29	98102254571	17	2016-04-06 20:38:45.14	2016-04-06 20:38:46.14	1	3	Wrong Hour
30	98102253062	18	2016-04-06 20:39:21.37	2016-04-06 20:39:22.37	1	3	Wrong Hour
31	98102253062	19	2016-04-06 20:39:35.84	2016-04-06 20:39:36.84	1	3	Wrong Hour
32	98102253062	19	2016-04-06 20:39:42.17	2016-04-06 20:39:43.18	1	3	Wrong Hour
33	98102253062	20	2016-04-06 20:39:48.09	2016-04-06 20:39:49.09	1	3	Right Time
34	98102253062	20	2016-04-06 20:39:53.14	2016-04-06 20:39:54.14	1	3	Wrong Hour
35	98102253062	20	2016-04-06 20:40:05.40	2016-04-06 20:40:06.40	1	3	Wrong Hour
36	98102253062	21	2016-04-06 20:40:13.25	2016-04-06 20:40:14.25	1	3	Right Time
37	98102253062	21	2016-04-06 20:40:39.62	2016-04-06 20:40:40.65	1	3	Wrong Hour
38	98102254571	22	2016-04-06 20:41:09.68	2016-04-06 20:41:10.68	1	3	Wrong Hour
39	98102254571	22	2016-04-06 20:41:11.12	2016-04-06 20:41:12.14	1	3	Right Time
40	98102254571	23	2016-04-06 20:41:28.56	2016-04-06 20:41:29.56	1	3	Right Time
41	98102254571	23	2016-04-06 20:41:44.17	2016-04-06 20:41:45.12	1	3	Wrong Hour
42	98102254571	23	2016-04-06 20:41:45.12	2016-04-06 20:41:46.12	1	3	Wrong Hour
43	98102254571	24	2016-04-06 20:42:59.51	2016-04-06 20:43:00.51	1	3	Wrong Hour
44	98102254571	25	2016-04-06 20:43:07.96	2016-04-06 20:43:08.96	1	3	Right Time
45	98102254571	25	2016-04-06 20:43:20.89	2016-04-06 20:43:21.89	1	3	Wrong Hour
46	98102254571	26	2016-04-06 20:44:15.89	2016-04-06 20:44:16.90	1	3	Wrong Hour
47	98102254571	26	2016-04-06 20:44:16.96	2016-04-06 20:44:17.98	1	3	Right Time
48	98102254571	26	2016-04-06 20:44:38.70	2016-04-06 20:44:39.70	1	3	Wrong Hour
49	98102253062	27	2016-04-06 20:47:19.67	2016-04-06 20:47:20.67	1	3	Wrong Hour
50	98102253062	27	2016-04-06 20:47:24.79	2016-04-06 20:47:25.79	1	3	Wrong Hour
51	98102253062	27	2016-04-06 20:47:29.35	2016-04-06 20:47:30.35	1	3	Wrong Hour
52	98102253062	27	2016-04-06 20:47:33.92	2016-04-06 20:47:34.92	1	3	Wrong Hour
53	98102253062	28	2016-04-06 20:47:39.25	2016-04-06 20:47:40.25	1	3	Right Time
54	98102253062	28	2016-04-06 20:47:58.92	2016-04-06 20:47:59.92	1	3	Wrong Hour
55	98102253062	28	2016-04-06 20:48:02.81	2016-04-06 20:48:03.81	1	3	Wrong Hour
56	98102254571	29	2016-04-06 20:54:03.70	2016-04-06 20:54:04.70	1	3	Wrong Hour
57	98102254571	29	2016-04-06 20:54:05.17	2016-04-06 20:54:06.18	1	3	Right Time
58	98102254571	29	2016-04-06 20:54:16.48	2016-04-06 20:54:17.48	1	3	Wrong Hour
59	98102254571	30	2016-04-06 20:54:22.92	2016-04-06 20:54:23.92	1	3	Right Time
60	98102254571	30	2016-04-06 20:54:34.78	2016-04-06 20:54:35.78	1	3	Wrong Hour
61	98102253062	31	2016-04-06 21:05:06.96	2016-04-06 21:05:07.96	1	3	Wrong Hour
62	98102253062	31	2016-04-06 21:05:11.45	2016-04-06 21:05:12.45	1	3	Wrong Hour
63	98102253062	31	2016-04-06 21:05:12.73	2016-04-06 21:05:13.73	1	3	Wrong Hour
64	98102253062	31	2016-04-06 21:05:29.31	2016-04-06 21:05:30.31	1	3	Wrong Hour
65	98102253062	31	2016-04-06 21:05:36.00	2016-04-06 21:05:37.01	1	3	Wrong Hour
66	98102254571	32	2016-04-06 21:28:52.85	2016-04-06 21:28:53.85	1	3	Wrong Hour
67	98102254571	32	2016-04-06 21:28:55.04	2016-04-06 21:28:56.04	1	3	Right Time
68	98102254571	32	2016-04-06 21:29:03.56	2016-04-06 21:29:03.76	1	3	Wrong Hour
69	98102254571	32	2016-04-06 21:29:03.76	2016-04-06 21:29:04.54	1	3	Wrong Hour
70	98102254571	32	2016-04-06 21:29:04.54	2016-04-06 21:29:05.54	1	3	Wrong Hour
71	98102254571	33	2016-04-06 21:29:16.53	2016-04-06 21:29:17.53	1	3	Wrong Hour
72	98102253062	34	2016-04-06 21:47:09.95	2016-04-06 21:47:10.95	1	3	Right Time
73	98102253062	34	2016-04-06 21:47:27.76	2016-04-06 21:47:28.78	1	3	Wrong Hour
74	98102253062	34	2016-04-06 21:47:32.45	2016-04-06 21:47:33.45	1	3	Wrong Hour
75	98102253062	35	2016-04-06 21:47:38.57	2016-04-06 21:47:39.57	1	3	Right Time
76	98102253062	35	2016-04-06 21:47:56.93	2016-04-06 21:47:57.15	1	3	Wrong Hour
77	98102253062	35	2016-04-06 21:47:57.15	2016-04-06 21:47:58.15	1	3	Wrong Hour
78	98102254571	42	2016-04-06 21:48:14.39	2016-04-06 21:48:15.39	1	3	Wrong Hour
79	98102254571	42	2016-04-06 21:48:16.62	2016-04-06 21:48:17.62	1	3	Right Time
80	98102254571	42	2016-04-06 21:48:33.78	2016-04-06 21:48:34.00	1	3	Wrong Hour
81	98102254571	42	2016-04-06 21:48:34.00	2016-04-06 21:48:34.64	1	3	Wrong Hour
82	98102254571	42	2016-04-06 21:48:34.64	2016-04-06 21:48:34.84	1	3	Wrong Hour
83	98102254571	42	2016-04-06 21:48:34.84	2016-04-06 21:48:35.84	1	3	Wrong Hour
84	98102254571	43	2016-04-06 21:48:38.50	2016-04-06 21:48:39.50	1	3	Wrong Hour
85	98102254571	43	2016-04-06 21:48:47.60	2016-04-06 21:48:48.62	1	3	Wrong Hour
86	98102254571	44	2016-04-06 21:49:29.04	2016-04-06 21:49:30.04	1	3	Wrong Hour
87	98102254571	44	2016-04-06 21:49:30.43	2016-04-06 21:49:31.43	1	3	Right Time
88	98102254571	44	2016-04-06 21:49:44.45	2016-04-06 21:49:45.45	1	3	Wrong Hour
89	98102254571	45	2016-04-06 21:49:53.10	2016-04-06 21:49:54.10	1	3	Right Time
90	98102254571	46	2016-04-06 21:50:12.56	2016-04-06 21:50:13.56	1	3	Right Time
91	98102254571	46	2016-04-06 21:50:32.07	2016-04-06 21:50:33.09	1	3	Wrong Hour
92	98102254571	46	2016-04-06 21:50:36.87	2016-04-06 21:50:37.87	1	3	Wrong Hour
93	98102254571	47	2016-04-06 21:50:43.96	2016-04-06 21:50:44.96	1	3	Wrong Hour
94	98102254571	48	2016-04-06 21:50:50.26	2016-04-06 21:50:51.28	1	3	Right Time
95	98102254571	49	2016-04-06 21:51:08.23	2016-04-06 21:51:09.23	1	3	Wrong Hour
96	98102254571	49	2016-04-06 21:51:10.89	2016-04-06 21:51:11.89	1	3	Right Time
97	98102254571	50	2016-04-06 21:51:56.51	2016-04-06 21:51:57.51	1	3	Wrong Hour
98	98102254571	50	2016-04-06 21:51:58.85	2016-04-06 21:51:59.85	1	3	Right Time
99	98102254571	50	2016-04-06 21:52:15.04	2016-04-06 21:52:15.14	1	3	Wrong Hour
100	98102254571	50	2016-04-06 21:52:15.14	2016-04-06 21:52:16.14	1	3	Wrong Hour
101	98102253062	51	2016-04-06 21:52:43.70	2016-04-06 21:52:44.70	1	3	Wrong Hour
102	98102253062	51	2016-04-06 21:52:52.68	2016-04-06 21:52:53.68	1	3	Wrong Hour
103	98102254571	52	2016-04-06 21:54:41.73	2016-04-06 21:54:42.73	1	3	Right Time
104	98102254571	52	2016-04-06 21:54:53.21	2016-04-06 21:54:54.21	1	3	Wrong Hour
105	98102253062	53	2016-04-06 21:55:42.17	2016-04-06 21:55:43.17	1	3	Wrong Hour
106	98102253062	53	2016-04-06 21:55:43.39	2016-04-06 21:55:44.39	1	3	Right Time
107	98102253062	53	2016-04-06 21:56:08.25	2016-04-06 21:56:09.25	1	3	Wrong Hour
108	98102254571	55	2016-04-06 21:56:15.23	2016-04-06 21:56:16.23	1	3	Wrong Hour
109	98102254571	55	2016-04-06 21:56:17.85	2016-04-06 21:56:18.85	1	3	Right Time
110	98102254571	55	2016-04-06 21:56:28.67	2016-04-06 21:56:29.68	1	3	Wrong Hour
111	98102253062	58	2016-04-06 21:56:42.87	2016-04-06 21:56:42.95	1	3	Wrong Hour
112	98102253062	58	2016-04-06 21:56:42.95	2016-04-06 21:56:43.95	1	3	Wrong Hour
113	98102254571	59	2016-04-06 21:56:48.82	2016-04-06 21:56:49.82	1	3	Right Time
114	98102254571	59	2016-04-06 21:56:51.09	2016-04-06 21:56:51.81	1	3	Wrong Hour
115	98102253062	60	2016-04-06 21:56:51.81	2016-04-06 21:56:52.25	1	3	Wrong Hour
116	98102253062	60	2016-04-06 21:56:52.25	2016-04-06 21:56:53.26	1	3	Wrong Hour
117	98102253062	61	2016-04-06 21:57:00.03	2016-04-06 21:57:00.10	1	3	Wrong Hour
118	98102253062	61	2016-04-06 21:57:00.10	2016-04-06 21:57:01.10	1	3	Wrong Hour
119	98102253062	61	2016-04-06 21:57:09.07	2016-04-06 21:57:10.07	1	3	Wrong Hour
120	98102254571	62	2016-04-06 21:57:13.07	2016-04-06 21:57:14.07	1	3	Wrong Hour
121	98102253062	63	2016-04-06 21:57:14.51	2016-04-06 21:57:15.51	1	3	Wrong Hour
122	98102253062	63	2016-04-06 21:57:17.50	2016-04-06 21:57:17.73	1	3	Right Time
123	98102253062	63	2016-04-06 21:57:17.73	2016-04-06 21:57:18.73	1	3	Right Time
124	98102253062	63	2016-04-06 21:57:27.20	2016-04-06 21:57:28.20	1	3	Wrong Hour
125	98102253062	63	2016-04-06 21:57:31.84	2016-04-06 21:57:32.84	1	3	Wrong Hour
126	98102253062	63	2016-04-06 21:57:37.35	2016-04-06 21:57:38.35	1	3	Wrong Hour
127	98102253062	63	2016-04-06 21:57:38.42	2016-04-06 21:57:39.42	1	3	Wrong Hour
128	98102253062	63	2016-04-06 21:57:40.12	2016-04-06 21:57:41.12	1	3	Wrong Hour
129	98102253062	65	2016-04-06 21:57:48.15	2016-04-06 21:57:49.15	1	3	Wrong Hour
130	98102253062	65	2016-04-06 21:57:50.07	2016-04-06 21:57:51.07	1	3	Right Time
131	98102253062	65	2016-04-06 21:57:58.14	2016-04-06 21:57:59.14	1	3	Wrong Hour
132	98102253062	65	2016-04-06 21:57:59.56	2016-04-06 21:57:59.64	1	3	Wrong Hour
133	98102253062	65	2016-04-06 21:57:59.64	2016-04-06 21:58:00.15	1	3	Wrong Hour
134	98102253062	65	2016-04-06 21:58:00.15	2016-04-06 21:58:00.29	1	3	Wrong Hour
135	98102253062	65	2016-04-06 21:58:00.29	2016-04-06 21:58:01.29	1	3	Wrong Hour
136	98102253062	67	2016-04-06 21:58:07.45	2016-04-06 21:58:08.45	1	3	Wrong Hour
137	98102253062	67	2016-04-06 21:58:12.31	2016-04-06 21:58:13.32	1	3	Wrong Hour
138	98102253062	67	2016-04-06 21:58:14.56	2016-04-06 21:58:15.57	1	3	Wrong Hour
139	98102254571	68	2016-04-06 21:58:17.57	2016-04-06 21:58:18.57	1	3	Wrong Hour
140	98102254571	70	2016-04-06 21:58:21.25	2016-04-06 21:58:22.25	1	3	Wrong Hour
141	98102254571	70	2016-04-06 21:58:23.29	2016-04-06 21:58:23.34	1	3	Right Time
142	98102254571	70	2016-04-06 21:58:23.34	2016-04-06 21:58:24.03	1	3	Right Time
143	98102254571	70	2016-04-06 21:58:24.03	2016-04-06 21:58:25.03	1	3	Wrong Hour
144	98102254571	70	2016-04-06 21:58:42.82	2016-04-06 21:58:43.82	1	3	Wrong Hour
145	98102254571	70	2016-04-06 21:58:44.12	2016-04-06 21:58:45.12	1	3	Wrong Hour
146	98102254571	70	2016-04-06 21:58:46.18	2016-04-06 21:58:47.20	1	3	Wrong Hour
147	98102254571	70	2016-04-06 21:58:47.79	2016-04-06 21:58:48.32	1	3	Wrong Hour
148	98102254571	70	2016-04-06 21:58:48.32	2016-04-06 21:58:49.32	1	3	Wrong Hour
149	98102254571	70	2016-04-06 21:58:51.12	2016-04-06 21:58:52.12	1	3	Wrong Hour
150	98102254571	70	2016-04-06 21:58:56.81	2016-04-06 21:58:56.93	1	3	Wrong Hour
151	98102254571	70	2016-04-06 21:58:56.93	2016-04-06 21:58:57.93	1	3	Wrong Hour
152	98102253062	71	2016-04-06 21:59:02.34	2016-04-06 21:59:02.46	1	3	Right Time
153	98102253062	71	2016-04-06 21:59:02.46	2016-04-06 21:59:03.46	1	3	Right Time
154	98102253062	71	2016-04-06 21:59:18.10	2016-04-06 21:59:19.10	1	3	Wrong Hour
155	98102253062	71	2016-04-06 21:59:20.67	2016-04-06 21:59:21.67	1	3	Wrong Hour
156	98102253062	71	2016-04-06 21:59:24.37	2016-04-06 21:59:25.37	1	3	Wrong Hour
157	98102253062	72	2016-04-06 21:59:46.04	2016-04-06 21:59:46.18	1	3	Wrong Hour
158	98102253062	72	2016-04-06 21:59:46.18	2016-04-06 21:59:47.18	1	3	Wrong Hour
159	98102253062	72	2016-04-06 21:59:48.42	2016-04-06 21:59:49.42	1	3	Right Time
160	98102253062	72	2016-04-06 22:00:03.14	2016-04-06 22:00:04.14	1	3	Wrong Hour
161	98102253062	73	2016-04-06 22:00:14.35	2016-04-06 22:00:15.35	1	3	Wrong Hour
162	98102253062	73	2016-04-06 22:00:23.51	2016-04-06 22:00:24.51	1	3	Wrong Hour
163	98102253062	73	2016-04-06 22:00:26.12	2016-04-06 22:00:27.12	1	3	Wrong Hour
164	98102253062	73	2016-04-06 22:00:28.18	2016-04-06 22:00:29.18	1	3	Wrong Hour
165	98102254571	74	2016-04-06 22:00:30.21	2016-04-06 22:00:31.06	1	3	Wrong Hour
166	98102254571	74	2016-04-06 22:00:31.06	2016-04-06 22:00:32.06	1	3	Wrong Hour
167	98102253062	75	2016-04-06 22:00:32.10	2016-04-06 22:00:33.10	1	3	Wrong Hour
168	98102253062	75	2016-04-06 22:00:33.84	2016-04-06 22:00:34.29	1	3	Right Time
169	98102253062	75	2016-04-06 22:00:34.29	2016-04-06 22:00:35.29	1	3	Right Time
170	98102253062	75	2016-04-06 22:00:47.42	2016-04-06 22:00:48.43	1	3	Wrong Hour
171	98102253062	75	2016-04-06 22:00:52.18	2016-04-06 22:00:53.18	1	3	Wrong Hour
172	98102253062	75	2016-04-06 22:00:54.12	2016-04-06 22:00:55.12	1	3	Wrong Hour
173	98102254571	76	2016-04-06 22:01:08.26	2016-04-06 22:01:09.26	1	3	Wrong Hour
174	98102254571	76	2016-04-06 22:01:10.50	2016-04-06 22:01:11.50	1	3	Right Time
175	98102254571	76	2016-04-06 22:01:23.00	2016-04-06 22:01:23.14	1	3	Wrong Hour
176	98102254571	76	2016-04-06 22:01:23.14	2016-04-06 22:01:24.15	1	3	Wrong Hour
177	98102254571	76	2016-04-06 22:01:27.68	2016-04-06 22:01:28.42	1	3	Wrong Hour
178	98102254571	76	2016-04-06 22:01:28.42	2016-04-06 22:01:29.42	1	3	Wrong Hour
179	98102254571	76	2016-04-06 22:01:30.93	2016-04-06 22:01:31.95	1	3	Wrong Hour
180	98102254571	76	2016-04-06 22:01:37.53	2016-04-06 22:01:38.53	1	3	Wrong Hour
181	98102254571	76	2016-04-06 22:01:39.89	2016-04-06 22:01:40.89	1	3	Wrong Hour
