VisitID	Start	End	Side	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickContactTime	LickDuration	AirState	DoorState	LED1State	LED2State	LED3State
0	2016-04-07 14:54:17.93	2016-04-07 14:54:18.28	5	1	0	0	0	0	0	0	0	0	0	0	0
1	2016-04-07 14:57:51.35	2016-04-07 14:57:52.40	5	1	0	0	0	0	0	0	0	0	0	0	0
2	2016-04-07 14:58:01.12	2016-04-07 14:58:01.14	6	-1	1	0	0	0	0	0	0	0	0	0	0
2	2016-04-07 14:58:03.87	2016-04-07 14:58:04.46	5	1	0	0	0	0	0	0	0	0	0	0	0
3	2016-04-07 15:05:01.17	2016-04-07 15:05:01.56	5	1	0	0	0	0	0	0	0	0	0	0	0
4	2016-04-07 15:09:54.60	2016-04-07 15:09:55.51	5	1	0	0	0	0	0	0	0	0	0	0	0
4	2016-04-07 15:09:56.17	2016-04-07 15:09:56.75	5	1	0	0	0	0	0	0	0	0	0	0	0
4	2016-04-07 15:10:00.67	2016-04-07 15:10:00.78	5	1	0	0	0	0	0	0	0	0	0	0	0
4	2016-04-07 15:10:03.07	2016-04-07 15:10:03.35	6	-1	1	0	0	0	0	0	0	0	0	0	0
9	2016-04-07 16:56:18.90	2016-04-07 16:56:19.73	5	1	0	0	0	0	0	0	0	0	0	0	0
10	2016-04-07 16:56:30.71	2016-04-07 16:56:31.64	5	1	0	0	0	0	0	0	0	0	0	0	0
10	2016-04-07 16:56:32.45	2016-04-07 16:56:32.96	5	1	0	0	0	0	0	0	0	0	0	0	0
11	2016-04-07 16:57:38.39	2016-04-07 16:57:38.98	5	1	0	0	0	0	0	0	0	0	0	0	0
11	2016-04-07 16:57:39.71	2016-04-07 16:57:40.39	5	1	0	0	0	0	0	0	0	0	0	0	0
11	2016-04-07 16:57:46.59	2016-04-07 16:57:47.15	5	1	0	0	0	0	0	0	0	0	0	0	0
14	2016-04-07 17:00:24.56	2016-04-07 17:00:25.09	5	1	0	0	0	0	0	0	0	0	0	0	0
16	2016-04-07 18:52:56.46	2016-04-07 18:52:57.01	5	1	0	0	0	0	0	0	0	0	0	0	0
16	2016-04-07 18:53:09.15	2016-04-07 18:53:09.70	5	1	0	0	0	0	0	0	0	0	0	0	0
16	2016-04-07 18:53:15.46	2016-04-07 18:53:15.76	6	-1	1	0	0	0	0	0	0	0	0	0	0
17	2016-04-07 18:56:52.18	2016-04-07 18:56:52.75	5	1	0	0	0	0	0	0	0	0	0	0	0
17	2016-04-07 18:56:56.26	2016-04-07 18:56:56.67	5	1	0	0	0	0	0	0	0	0	0	0	0
17	2016-04-07 18:57:07.23	2016-04-07 18:57:07.92	5	1	0	0	0	0	0	0	0	0	0	0	0
17	2016-04-07 18:57:12.79	2016-04-07 18:57:12.89	6	-1	1	0	0	0	0	0	0	0	0	0	0
17	2016-04-07 18:57:12.95	2016-04-07 18:57:12.96	6	-1	1	0	0	0	0	0	0	0	0	0	0
17	2016-04-07 18:57:13.04	2016-04-07 18:57:13.46	6	-1	1	0	0	0	0	0	0	0	0	0	0
18	2016-04-07 18:57:20.42	2016-04-07 18:57:20.90	5	1	0	0	0	0	0	0	0	0	0	0	0
